Course,Year,Season,Antal bestået,Antal tilmeldte,Eksamensgennemsnit,Fremmødte
46W37,2023,Winter,"14  (77  %  af de tilmeldte,  93  %  af de fremmødte)",18,"6,8 (Efter 7-trinsskalaen)",15
46W44,2023,Summer,"27  (93  %  af de tilmeldte,  100  %  af de fremmødte)",29,"9,6 (Efter 7-trinsskalaen)",27
46W44,2024,Summer,"24  (92  %  af de tilmeldte,  100  %  af de fremmødte)",26,"9,8 (Efter 7-trinsskalaen)",24
46W47,2023,Summer,"15  (78  %  af de tilmeldte,  93  %  af de fremmødte)",19,Intet eksamensgennemsnit,16
46W47,2024,Summer,"12  (85  %  af de tilmeldte,  92  %  af de fremmødte)",14,"5,8 (Efter 7-trinsskalaen)",13
47201,2018,Summer,"19  (90  %  af de tilmeldte,  95  %  af de fremmødte)",21,"8,1 (Efter 7-trinsskalaen)",20
47201,2019,Summer,"50  (96  %  af de tilmeldte,  100  %  af de fremmødte)",52,"10,2 (Efter 7-trinsskalaen)",50
47201,2020,Summer,"70  (98  %  af de tilmeldte,  98  %  af de fremmødte)",71,"7,7 (Efter 7-trinsskalaen)",71
47201,2021,Summer,"107  (99  %  af de tilmeldte,  100  %  af de fremmødte)",108,"8,3 (Efter 7-trinsskalaen)",107
47201,2022,Summer,"76  (92  %  af de tilmeldte,  100  %  af de fremmødte)",82,"7,9 (Efter 7-trinsskalaen)",76
47201,2023,Summer,"83  (95  %  af de tilmeldte,  97  %  af de fremmødte)",87,"7,1 (Efter 7-trinsskalaen)",85
47201,2024,Summer,"110  (97  %  af de tilmeldte,  100  %  af de fremmødte)",113,"8,4 (Efter 7-trinsskalaen)",110
47202,2017,Winter,"44  (97  %  af de tilmeldte,  100  %  af de fremmødte)",45,"7,8 (Efter 7-trinsskalaen)",44
47202,2018,Winter,"110  (94  %  af de tilmeldte,  97  %  af de fremmødte)",116,"7,3 (Efter 7-trinsskalaen)",113
47202,2019,Summer,,1,,1
47202,2019,Winter,"146  (96  %  af de tilmeldte,  99  %  af de fremmødte)",151,"7,3 (Efter 7-trinsskalaen)",147
47202,2020,Summer,,1,,1
47202,2020,Winter,"127  (95  %  af de tilmeldte,  97  %  af de fremmødte)",133,"7,4 (Efter 7-trinsskalaen)",130
47202,2021,Winter,"112  (94  %  af de tilmeldte,  97  %  af de fremmødte)",119,"7,1 (Efter 7-trinsskalaen)",115
47202,2022,Summer,"124  (93  %  af de tilmeldte,  95  %  af de fremmødte)",132,"6,7 (Efter 7-trinsskalaen)",130
47202,2023,Summer,"182  (93  %  af de tilmeldte,  98  %  af de fremmødte)",195,"7,3 (Efter 7-trinsskalaen)",185
47202,2023,Winter,"202  (94  %  af de tilmeldte,  100  %  af de fremmødte)",214,8 (Efter 7-trinsskalaen),202
47202,2024,Summer,,3,,3
47203,2018,Winter,"94  (100  %  af de tilmeldte,  100  %  af de fremmødte)",94,"9,2 (Efter 7-trinsskalaen)",94
47203,2019,Winter,"104  (96  %  af de tilmeldte,  100  %  af de fremmødte)",108,"8,2 (Efter 7-trinsskalaen)",104
47203,2020,Winter,"120  (98  %  af de tilmeldte,  100  %  af de fremmødte)",122,"7,9 (Efter 7-trinsskalaen)",120
47203,2021,Winter,"98  (98  %  af de tilmeldte,  100  %  af de fremmødte)",100,"8,1 (Efter 7-trinsskalaen)",98
47203,2022,Summer,,1,,1
47203,2022,Winter,"110  (99  %  af de tilmeldte,  99  %  af de fremmødte)",111,Intet eksamensgennemsnit,111
47203,2023,Winter,"139  (97  %  af de tilmeldte,  98  %  af de fremmødte)",143,Intet eksamensgennemsnit,141
47203,2024,Summer,,2,,2
47204,2022,Summer,"7  (100  %  af de tilmeldte,  100  %  af de fremmødte)",7,Intet eksamensgennemsnit,7
47205,2021,Summer,"21  (100  %  af de tilmeldte,  100  %  af de fremmødte)",21,"7,2 (Efter 7-trinsskalaen)",21
47205,2022,Summer,"9  (81  %  af de tilmeldte,  100  %  af de fremmødte)",11,"7,9 (Efter 7-trinsskalaen)",9
47205,2023,Summer,"18  (100  %  af de tilmeldte,  100  %  af de fremmødte)",18,"7,4 (Efter 7-trinsskalaen)",18
47205,2024,Summer,"25  (86  %  af de tilmeldte,  92  %  af de fremmødte)",29,"6,5 (Efter 7-trinsskalaen)",27
47209,2019,Winter,"5  (100  %  af de tilmeldte,  100  %  af de fremmødte)",5,"9,6 (Efter 7-trinsskalaen)",5
47209,2020,Winter,"16  (94  %  af de tilmeldte,  100  %  af de fremmødte)",17,"7,9 (Efter 7-trinsskalaen)",16
47209,2021,Winter,"19  (100  %  af de tilmeldte,  100  %  af de fremmødte)",19,"9,3 (Efter 7-trinsskalaen)",19
47209,2022,Winter,"22  (95  %  af de tilmeldte,  100  %  af de fremmødte)",23,"9,6 (Efter 7-trinsskalaen)",22
47209,2023,Winter,"19  (100  %  af de tilmeldte,  100  %  af de fremmødte)",19,"7,9 (Efter 7-trinsskalaen)",19
47210,2021,Summer,"9  (90  %  af de tilmeldte,  90  %  af de fremmødte)",10,"9,7 (Efter 7-trinsskalaen)",10
47210,2022,Summer,"9  (100  %  af de tilmeldte,  100  %  af de fremmødte)",9,"9,4 (Efter 7-trinsskalaen)",9
47211,2020,Winter,"42  (100  %  af de tilmeldte,  100  %  af de fremmødte)",42,9 (Efter 7-trinsskalaen),42
47211,2021,Winter,"39  (97  %  af de tilmeldte,  97  %  af de fremmødte)",40,"9,6 (Efter 7-trinsskalaen)",40
47211,2022,Winter,"52  (92  %  af de tilmeldte,  100  %  af de fremmødte)",56,"7,4 (Efter 7-trinsskalaen)",52
47211,2023,Winter,"58  (100  %  af de tilmeldte,  100  %  af de fremmødte)",58,"8,4 (Efter 7-trinsskalaen)",58
47212,2023,Winter,"9  (81  %  af de tilmeldte,  81  %  af de fremmødte)",11,"7,4 (Efter 7-trinsskalaen)",11
47212,2024,Summer,,1,,1
47213,2024,Summer,"20  (95  %  af de tilmeldte,  100  %  af de fremmødte)",21,"9,2 (Efter 7-trinsskalaen)",20
47214,2023,Winter,"18  (66  %  af de tilmeldte,  85  %  af de fremmødte)",27,"7,4 (Efter 7-trinsskalaen)",21
47214,2024,Summer,,1,,1
47215,2023,Winter,"12  (92  %  af de tilmeldte,  100  %  af de fremmødte)",13,Intet eksamensgennemsnit,12
47301,2017,Summer,"53  (96  %  af de tilmeldte,  100  %  af de fremmødte)",55,"9,1 (Efter 7-trinsskalaen)",53
47301,2018,Summer,"37  (97  %  af de tilmeldte,  100  %  af de fremmødte)",38,"8,5 (Efter 7-trinsskalaen)",37
47301,2019,Summer,"36  (92  %  af de tilmeldte,  100  %  af de fremmødte)",39,"9,1 (Efter 7-trinsskalaen)",36
