Course code,Academic Year,Year,Season,Antal bestået,Antal tilmeldte,Eksamensgennemsnit,Fremmødte,Engelsk titel,Undervisningssprog,Point( ECTS ),Kursustype,Evalueringsform,Hjælpemidler,Bedømmelsesform,Institut,Mulighed for GRØN DYST deltagelse,Ekstern samarbejdsinstitution,forudsætninger
42421,2022-2023,2022,Winter,151,154,"9,6",154,Management and Organization,Engelsk,5,Bachelor,"Bedømmelse af opgave(r)/rapport(er) Den studerendes bidrag evalueres ud fra et gruppeprojekt samt tre multiple choice quizzer. Gruppens projektrapport afleveres i slutningen af semesteret (inden udgangen af 13-ugers perioden). Hvert gruppemedlem skal indikere sit bidrag. De tre multiple-choice quizzer gennemføres i løbet af kurset. 80 % af den studerendes samlede karakter udgøres af gruppeprojektet, imens 20 % af karakteren udgøres af multiple-choice quizzer.",Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42421,2023-2024,2023,Winter,205,206,"8,9",206,Management and Organization,Engelsk,5,"Bachelor, Diplomingeniør",Mundtlig eksamen og bedømmelse af rapport(er) Individuel grupperapport og mundtlig eksamen. Grupperapporten afleveres i slutningen af semesteret (inden udløbet af 13-ugers perioden). Hvert gruppemedlem skal angive sit bidrag og deltage i den mundtlige prøve. To (2) quizzer i alt gennem hele kurset. Karakteren består af 80 % af grupperapporten og mundtlig prøve og 20 % af de to quizzer. Eksamensvarighed Mundtlig gruppeeksamen: Varighed ca. 1 time pr. gruppe,Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42429,2017-2018,2018,Summer,191,194,"9,8",191,Project Management,Engelsk,5,"Kandidat, Bachelor","Bedømmelse af øvelser og rapport(er) Igennem kurset udarbejdes en projektrapport i grupper. Karakteren baseres på rapporten, individuelle review af andre grupperapporter (peer-reviews) samt individuelle multiple choice prøver undervejs.",Tilladt,ekstern censur,Institut42 DTU Management Engineering,Ikke oplyst,Ja,Nej
42429,2018-2019,2019,Summer,324,337,"9,6",324,Project Management,Engelsk,5,"Kandidat, Bachelor","Bedømmelse af øvelser og rapport(er) Igennem kurset udarbejdes en projektrapport i grupper. Karakteren baseres på rapporten, individuelle review af andre grupperapporter (peer-reviews) samt individuelle multiple choice prøver undervejs.",Tilladt,ekstern censur,"Institut42 Institutfor Systemer, Produktion og Ledelse",Ikke oplyst,Ja,Nej
42429,2019-2020,2020,Summer,333,341,"8,6",333,Project Management,Engelsk,5,"Kandidat, Bachelor","Bedømmelse af øvelser og rapport(er) Igennem kurset udarbejdes en projektrapport i grupper. Karakteren baseres på rapporten, individuelle review af andre grupperapporter (peer-reviews), individuelle multiple choice prøver undervejs samt deltagelse i et ProjectGame.",Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42429,2020-2021,2021,Summer,321,342,"8,6",322,Project Management,Engelsk,5,"Kandidat, Bachelor",Bedømmelse af øvelser og rapport(er) Igennem kurset udarbejdes en projektrapport i grupper. Karakteren baseres 50% på rapporten (individuelle konklusioner) og 50% på individuelle multiple choice prøver igennem kurset. Individuelle review af andre grupperapporter (peer-reviews) bruges i tilfælde hvor de studerende ligger i mellem karakterer. Endelig er deltagelse i kursets ProjectGame en forudsætning for at bestå.,Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42429,2021-2022,2022,Summer,442,455,"8,7",447,Project Management,Engelsk,5,"Kandidat, Bachelor","Bedømmelse af øvelser og rapport(er) Karakteren beregnes ud fra en samlet vurdering af en caserapport (gruppeopgave med individuelle konklusioner), fire individuelle multiple choice-tests i løbet af kurset og kvaliteten af den peer review-feedback, som den studerende har givet på to delrapporter udarbejdet i grupperne. Derudover er deltagelse i ProjectGame et krav for at bestå kurset.",Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42429,2022-2023,2023,Summer,384,398,"8,6",384,Project Management,Engelsk,5,"Kandidat, Bachelor","Bedømmelse af øvelser og rapport(er) Karakteren beregnes ud fra en samlet vurdering af en caserapport (gruppeopgave med specificering af individuelle bidrag samt en separat individul konklusion), fire individuelle multiple choice-tests i løbet af kurset og kvaliteten af den peer review-feedback, som den studerende har givet på to delrapporter udarbejdet i grupperne. Derudover er deltagelse i ProjectGame en forudsætning for at bestå kurset.",Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42430,2017-2018,2017,Winter,192,195,10,192,Project Management,Engelsk,5,"Kandidat, Bachelor","Bedømmelse af øvelser og rapport(er) Igennem kurset udarbejdes en projektrapport i grupper. Karakteren baseres på rapporten, individuelle review af andre grupperapporter (peer-reviews) samt individuelle multiple choice prøver undervejs.",Tilladt,ekstern censur,Institut42 DTU Management Engineering,Ikke oplyst,Ja,Nej
42430,2018-2019,2018,Winter,300,311,"9,8",300,Project Management,Engelsk,5,"Kandidat, Bachelor","Bedømmelse af øvelser og rapport(er) Igennem kurset udarbejdes en projektrapport i grupper. Karakteren baseres på rapporten, individuelle review af andre grupperapporter (peer-reviews) samt individuelle multiple choice prøver undervejs.",Tilladt,ekstern censur,"Institut42 Institutfor Systemer, Produktion og Ledelse",Ikke oplyst,Ja,Nej
